10003	WARN	(Vulnerable JS Library)
10010	WARN	(Cookie No HttpOnly Flag)
10011	WARN	(Cookie Without Secure Flag)
10015	WARN	(Incomplete or No Cache-control Header Set)
10017	WARN	(Cross-Domain JavaScript Source File Inclusion)
10020	WARN	(X-Frame-Options Header)
10021	WARN	(X-Content-Type-Options Header Missing)
10036	WARN	(Server Leaks Version Information via Server HTTP Response Header Field)
10038	WARN	(Content Security Policy (CSP) Header Not Set)
10049	WARN	(Storable and Cacheable Content)
10055	WARN	(CSP: Wildcard Directive)
10063	WARN	(Permissions Policy Header Not Set)
10096	WARN	(Timestamp Disclosure - Unix)
10098	WARN	(Cross-Domain Misconfiguration)
